ticket_id,ticket_text,issue_type,urgency_level,product,processed_text,text_length
201,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available red,84
202,Facing installation issue with . Setup fails at step 3.,Installation Issue,Medium,SmartWatch V2,facing installation issue setup fails step,55
203,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PhotoSnap Cam,cant log account keep showing reset required help,63
204,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue?",General Inquiry,Medium,FitRun Treadmill,tell fitrun treadmill warranty also available blue,88
205,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue? Also, I contacted support on 29 March but got no response.",General Inquiry,High,Vision LED TV,tell vision led tv warranty also available blue also contacted support march got response,144
206,Facing installation issue with RoboChef Blender. Setup fails at step 5.,Installation Issue,Low,RoboChef Blender,facing installation issue robochef blender setup fails step,71
207,"Can't log in to my account. Keeps showing reset required. Help! Also, I contacted support on 04 May but got no response. Delivery expected by 04 May.",Account Access,Medium,RoboChef Blender,cant log account keep showing reset required help also contacted support may got response delivery expected may,149
208,UltraClean Vacuum is defective. It stopped working after just 1 days.,Product Defect,Low,UltraClean Vacuum,ultraclean vacuum defective stopped working day,69
209,Order #46182 for EcoBreeze AC is 9 days late. Ordered on 19 May.,Late Delivery,Low,EcoBreeze AC,order ecobreeze ac day late ordered may,64
210,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,Low,SmartWatch V2,facing installation issue smartwatch v setup fails step,68
211,I ordered  but got SoundWave 300 instead. My order number is #23976.,Wrong Item,High,EcoBreeze AC,ordered got soundwave instead order number,68
212,,Product Defect,Medium,SmartWatch V2,,0
213,Payment issue for my Vision LED TV. I was debited incorrectly for order #39849.,Billing Problem,Low,Vision LED TV,payment issue vision led tv debited incorrectly order,79
214,Payment problem fr order #94367. Need urgent help.,Billing Problem,Low,SoundWave 300,payment problem fr order need urgent help,50
215,Order #26115 for  is 4 days late. Ordered on 24 April.,Late Delivery,Low,ProTab X1,order day late ordered april,54
216,I ordered  but got PowerMax Battery instead. My order number is #90318.,Wrong Item,High,SmartWatch V2,ordered got powermax battery instead order number,71
217,Payment issue for my SmartWatch V2. I was underbilled for order #44795.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order,71
218,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Low,UltraClean Vacuum,facing installation issue ultraclean vacuum setup fails step,72
219,"Facing installation issue with . Setup fails at step 2. Also, I contacted support on 19 March but got no response.",Installation Issue,Low,PowerMax Battery,facing installation issue setup fails step also contacted support march got response,114
220,Not able to install my product.,Installation Issue,High,SmartWatch V2,able install product,31
221,Facing installation issue with RoboChef Blender. Setup fails at step 1.,Installation Issue,Medium,RoboChef Blender,facing installation issue robochef blender setup fails step,71
222,"Payment issue for my PowerMax Battery. I was not refunded for order #68783. Also, I contacted support on 13 March but got no response.",Billing Problem,Low,PowerMax Battery,payment issue powermax battery refunded order also contacted support march got response,134
223,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,Unknown,PhotoSnap Cam,tell photosnap cam warranty also available red,84
224,,Installation Issue,Medium,PowerMax Battery,,0
225,"Can you tell me more about the  warranty? Also, is it available in red?",General Inquiry,Medium,ProTab X1,tell warranty also available red,71
226,Facing installation issue with SoundWave 300. Setup fails at step 1.,Installation Issue,Medium,SoundWave 300,facing installation issue soundwave setup fails step,68
227,Not able to install my product. Delivery expected by 26 March.,Installation Issue,Low,PhotoSnap Cam,able install product delivery expected march,62
228,SoundWave 300 is late. It stopped working after just 12 days.,Product Defect,Unknown,SoundWave 300,soundwave late stopped working day,61
229,Payment issue for my PowerMax Battery. I was overbilled for order #61694.,Billing Problem,Medium,PowerMax Battery,payment issue powermax battery overbilled order,73
230,Order #98576 for PowerMax Battery is 3 days late. Ordered on 06 May.,Late Delivery,Medium,PowerMax Battery,order powermax battery day late ordered may,68
231,Payment issue for my . I was charged twice for order #70857.,Billing Problem,High,PhotoSnap Cam,payment issue charged twice order,60
232,"Both my UltraClean Vacuum and ProTab X1 are lost. Both giving issues. Also, I contacted support on 24 March but got no response.",Product Defect,High,UltraClean Vacuum,ultraclean vacuum protab x lost giving issue also contacted support march got response,128
233,Payment issue for my . I was overbilled for order #41191.,Billing Problem,Medium,UltraClean Vacuum,payment issue overbilled order,57
234,EcoBreeze AC is not received. It stopped working after just 4 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac received stopped working day,67
235,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,FitRun Treadmill,cant log account keep showing error help,54
236,Order #61028 for PhotoSnap Cam is 6 days late. Ordered on 08 March.,Late Delivery,Unknown,PhotoSnap Cam,order photosnap cam day late ordered march,67
237,"PowerMax Battery is glitchy. It stopped working after just 10 days. Also, I contacted support on 14 May but got no response.",Product Defect,High,PowerMax Battery,powermax battery glitchy stopped working day also contacted support may got response,124
238,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,Low,ProTab X1,tell protab x warranty also available blue,81
239," is defective. It stopped working after just 2 days. Also, I contacted support on 11 March but got no response.",Product Defect,Medium,ProTab X1,defective stopped working day also contacted support march got response,111
240,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 15 March but got no response. Delivery expected by 15 March.",Account Access,Low,Vision LED TV,cant log account keep showing captcha failed help also contacted support march got response delivery expected march,153
241,I ordered RoboChef Blender but got UltraClean Vacuum instead. My order number is #75624.,Wrong Item,Low,RoboChef Blender,ordered robochef blender got ultraclean vacuum instead order number,88
242,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 13 April but got no response. Delivery expected by 13 April.",Account Access,Low,RoboChef Blender,cant log account keep showing error help also contacted support april got response delivery expected april,144
243,Facing installation issue with EcoBreeze AC. Setup fails at step 6.,Installation Issue,High,EcoBreeze AC,facing installation issue ecobreeze ac setup fails step,67
244,Order #99210 for FitRun Treadmill is 11 days late. Ordered on 30 March.,Late Delivery,Medium,FitRun Treadmill,order fitrun treadmill day late ordered march,71
245,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Low,ProTab X1,cant log account keep showing reset required help,63
246,FitRun Treadmill is no response. It stopped working after just 3 days.,Product Defect,Medium,FitRun Treadmill,fitrun treadmill response stopped working day,70
247,"Can't access my account. Also, I contacted support on 28 April but got no response. Delivery expected by 28 April.",Account Access,High,ProTab X1,cant access account also contacted support april got response delivery expected april,114
248," is malfunction. It stopped working after just 3 days. Also, I contacted support on 12 March but got no response.",Product Defect,High,UltraClean Vacuum,malfunction stopped working day also contacted support march got response,113
249,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,FitRun Treadmill,tell warranty also available black,73
250,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,ProTab X1,cant log account keep showing blocked help,56
251,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in white?",General Inquiry,High,SoundWave 300,tell soundwave warranty also available white,86
252,EcoBreeze AC is damaged. It stopped working after just 11 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac damaged stopped working day,63
253,,Wrong Item,Medium,EcoBreeze AC,,0
254,Facing installation issue with FitRun Treadmill. Setup fails at step 5.,Installation Issue,Medium,FitRun Treadmill,facing installation issue fitrun treadmill setup fails step,71
255,ProTab X1 is damaged. It stopped working after just 7 days.,Product Defect,High,ProTab X1,protab x damaged stopped working day,59
256,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PowerMax Battery,cant log account keep showing reset required help,63
257,Payment issue for my SmartWatch V2. I was underbilled for order #91931.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order,71
258,Order #55349 placed on 10 March still not here.,Late Delivery,Low,Vision LED TV,order placed march still,47
259,Can't log in to my account. Keeps showing blocked. Help!,Account Access,High,EcoBreeze AC,cant log account keep showing blocked help,56
260,"Facing installation issue with PowerMax Battery. Setup fails at step 3. Also, I contacted support on 15 April but got no response.",Installation Issue,High,PowerMax Battery,facing installation issue powermax battery setup fails step also contacted support april got response,130
261,Can't log in to my account. Keeps showing error. Help!,Account Access,High,Vision LED TV,cant log account keep showing error help,54
262,Facing installation issue with PowerMax Battery. Setup fails at step 4.,Installation Issue,Medium,PowerMax Battery,facing installation issue powermax battery setup fails step,71
263,Payment issue for my FitRun Treadmill. I was charged twice for order #99357.,Billing Problem,Unknown,FitRun Treadmill,payment issue fitrun treadmill charged twice order,76
264,"EcoBreeze AC is missing. It stopped working after just 6 days. Also, I contacted support on 13 March but got no response.",Product Defect,Medium,EcoBreeze AC,ecobreeze ac missing stopped working day also contacted support march got response,121
265,Payment issue for my SoundWave 300. I was overbilled for order #26278.,Billing Problem,High,SoundWave 300,payment issue soundwave overbilled order,70
266,Payment issue for my . I was underbilled for order #75981.,Billing Problem,Medium,Vision LED TV,payment issue underbilled order,58
267,Facing installation issue wit EcoBreeze AC. Setup fails at step 3.,Installation Issue,Low,EcoBreeze AC,facing installation issue wit ecobreeze ac setup fails step,66
268," is glitchy. It stopped working after just 11 days. Also, I contacted support on 07 March but got no response.",Product Defect,Low,SmartWatch V2,glitchy stopped working day also contacted support march got response,110
269,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,SoundWave 300,cant log account keep showing captcha failed help,63
270,I ordered ProTab X1 but got PowerMax Battery instead. My order number is #96264.,Wrong Item,Medium,ProTab X1,ordered protab x got powermax battery instead order number,80
271,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,SmartWatch V2,cant log account keep showing error help,54
272,Vision LED TV is not received. It stopped working after just 10 days.,Product Defect,Medium,Vision LED TV,vision led tv received stopped working day,69
273,I ordered  but got SmartWatch V2 instead. My order number is #19513.,Wrong Item,High,FitRun Treadmill,ordered got smartwatch v instead order number,68
274,Payment issue for my SmartWatch V2. I was underbilled for order #56445. Delivery expected by 18 March.,Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v underbilled order delivery expected march,102
275,I ordered PhotoSnap Cam but got UltraClean Vacuum instead. My order number is #77017. Delivery expected by 28 April.,Wrong Item,Low,PhotoSnap Cam,ordered photosnap cam got ultraclean vacuum instead order number delivery expected april,116
276,Account problem. Assistance needed.,Unknown,Low,SmartWatch V2,account problem assistance needed,35
277,Can't log in to mi account. Keeps showing captcha failed. Help!,Account Access,High,SmartWatch V2,cant log mi account keep showing captcha failed help,63
278,Login not working.,Unknown,Low,Vision LED TV,login working,18
279,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,High,RoboChef Blender,tell robochef blender warranty also available white,89
280,Both my ProTab X1 and EcoBreeze AC are late. Both giving issues.,Product Defect,Low,ProTab X1,protab x ecobreeze ac late giving issue,64
281,,Billing Problem,Medium,ProTab X1,,0
282,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Low,SmartWatch V2,cant log account keep showing unknown issue help,62
283,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,Low,RoboChef Blender,tell robochef blender warranty also available white,89
284,Facing installation issue with Vision LED TV. Setup fails at step 1.,Installation Issue,High,Vision LED TV,facing installation issue vision led tv setup fails step,68
285,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #69733.,Wrong Item,Low,EcoBreeze AC,ordered ecobreeze ac got powermax battery instead order number,83
286,Facing installation issue with RoboChef Blender. Setup fails at step 6. Delivery expected by 29 April.,Installation Issue,High,RoboChef Blender,facing installation issue robochef blender setup fails step delivery expected april,102
287,Payment issue for my PhotoSnap Cam. I was charged twice for order #85816.,Billing Problem,High,PhotoSnap Cam,payment issue photosnap cam charged twice order,73
288,Facing installation issue wit RoboChef Blender. Setup fails at step 6.,Installation Issue,Medium,RoboChef Blender,facing installation issue wit robochef blender setup fails step,70
289,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in blue?",General Inquiry,Low,SmartWatch V2,tell smartwatch v warranty also available blue,85
290,Can't log in to my account. Keeps showing unknown issue. Help! Delivery expected by 22 April.,Account Access,High,EcoBreeze AC,cant log account keep showing unknown issue help delivery expected april,93
291,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,cant log account keep showing captcha failed help,63
292,UltraClean Vacuum is damaged. It stopped working after just 9 days.,Product Defect,High,UltraClean Vacuum,ultraclean vacuum damaged stopped working day,67
293,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,EcoBreeze AC,tell warranty also available blue,72
294,,Wrong Item,Low,UltraClean Vacuum,,0
295,I ordered ProTab X1 but got EcoBreeze AC instead. My order number is #26906.,Wrong Item,Medium,ProTab X1,ordered protab x got ecobreeze ac instead order number,76
296,Order #21993 placed on 21 March still not here.,Late Delivery,Medium,FitRun Treadmill,order placed march still,47
297,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Medium,UltraClean Vacuum,facing installation issue ultraclean vacuum setup fails step,72
298,,Late Delivery,High,RoboChef Blender,,0
299,I ordered ProTab X1 but got RoboChef Blender instead. My order number is #56658.,Wrong Item,Medium,ProTab X1,ordered protab x got robochef blender instead order number,80
300,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,FitRun Treadmill,cant log account keep showing captcha failed help,63
301,"Can you tell me more about teh UltraClean Vacuum warranty? Also, is it available in black?",General Inquiry,Medium,UltraClean Vacuum,tell teh ultraclean vacuum warranty also available black,90
302,Payment issue for my SmartWatch V2. I was underbilled for order #54150.,Billing Problem,Low,SmartWatch V2,payment issue smartwatch v underbilled order,71
303,Want to know more about warranty.,General Inquiry,Medium,Vision LED TV,want know warranty,33
304,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,facing installation issue fitrun treadmill setup fails step,71
305,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Medium,FitRun Treadmill,tell fitrun treadmill warranty also available white,89
306,Payment issue for my PhotoSnap Cam. I was debited incorrectly for order #97137.,Billing Problem,Low,PhotoSnap Cam,payment issue photosnap cam debited incorrectly order,79
307,,Installation Issue,Unknown,PowerMax Battery,,0
308,"Can you tell me more about teh Vision LED TV warranty? Also, is it available in red?",Unknown,Medium,Vision LED TV,tell teh vision led tv warranty also available red,84
309,Order #92183 fr FitRun Treadmill is 11 days late. Ordered on 01 April. Delivery expected by 01 April.,Late Delivery,Low,FitRun Treadmill,order fr fitrun treadmill day late ordered april delivery expected april,101
310,"Is this item in stock? Also, I contacted support on 11 April but got no response.",General Inquiry,High,RoboChef Blender,item stock also contacted support april got response,81
311,Payment issue for my SoundWave 300. I was not refunded for order #10599.,Billing Problem,High,SoundWave 300,payment issue soundwave refunded order,72
312,I ordered PowerMax Battery but got EcoBreeze AC instead. My order number is #28999.,Wrong Item,Low,PowerMax Battery,ordered powermax battery got ecobreeze ac instead order number,83
313,Not able to install my product.,Installation Issue,Medium,UltraClean Vacuum,able install product,31
314,Vision LED TV is error. It stopped working after just 5 days.,Unknown,High,Vision LED TV,vision led tv error stopped working day,61
315,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white?",General Inquiry,Medium,RoboChef Blender,tell robochef blender warranty also available white,89
316,Can't log in to my account. Keeps showing error. Help!,Account Access,Medium,RoboChef Blender,cant log account keep showing error help,54
317,Order #78448 placed on 05 April still not here.,Late Delivery,Medium,FitRun Treadmill,order placed april still,47
318,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in blue?",General Inquiry,High,PowerMax Battery,tell powermax battery warranty also available blue,88
319,"Payment issue for my SmartWatch V2. I was charged twice for order #25854. Also, I contacted support on 27 April but got no response.",Billing Problem,Medium,SmartWatch V2,payment issue smartwatch v charged twice order also contacted support april got response,132
320,,General Inquiry,Medium,SoundWave 300,,0
321,Facing installation issue with SoundWave 300. Setup fails at step 3.,Installation Issue,Medium,SoundWave 300,facing installation issue soundwave setup fails step,68
322,Payment issue for my UltraClean Vacuum. I was charged twice for order #93599.,Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum charged twice order,77
323,Payment issue fr mi PowerMax Battery. I was debited incorrectly fr order #39568.,Billing Problem,Medium,PowerMax Battery,payment issue fr mi powermax battery debited incorrectly fr order,80
324,Payment issue for my PhotoSnap Cam. I was underbilled for order #45573.,Billing Problem,Low,PhotoSnap Cam,payment issue photosnap cam underbilled order,71
325,FitRun Treadmill is missing. It stopped working after just 5 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill missing stopped working day,66
326, is damaged. It stopped working after just 2 days.,Product Defect,Medium,SoundWave 300,damaged stopped working day,50
327,Facing installation issue with ProTab X1. Setup fails at step 4.,Installation Issue,Low,ProTab X1,facing installation issue protab x setup fails step,64
328,Payment issue for my ProTab X1. I was charged twice for order #10170.,Billing Problem,High,ProTab X1,payment issue protab x charged twice order,69
329, is error. It stopped working after just 10 days. Delivery expected by 14 April.,Product Defect,Low,PowerMax Battery,error stopped working day delivery expected april,80
330, is late. It stopped working after just 9 days.,Product Defect,Low,PhotoSnap Cam,late stopped working day,47
331,Order #60087 for PowerMax Battery is 16 days late. Ordered on 14 March.,Unknown,Low,PowerMax Battery,order powermax battery day late ordered march,71
332,Payment issue for my UltraClean Vacuum. I was charged twice for order #23052.,Billing Problem,Unknown,UltraClean Vacuum,payment issue ultraclean vacuum charged twice order,77
333,Can't log in to my account. Keeps showing blocked. Help!,Account Access,High,EcoBreeze AC,cant log account keep showing blocked help,56
334,Can't log in to my account. Keeps showing error. Help! Delivery expected by 18 April.,Account Access,Low,FitRun Treadmill,cant log account keep showing error help delivery expected april,85
335,"Can you tell me more about the Vision LED TV warranty? Also, is it available in black? Also, I contacted support on 11 May but got no response.",General Inquiry,Medium,Vision LED TV,tell vision led tv warranty also available black also contacted support may got response,143
336,Order #27254 for PowerMax Battery is 1 days late. Ordered on 10 April.,Unknown,Low,PowerMax Battery,order powermax battery day late ordered april,70
337,Payment problem for order #98036. Need urgent help.,Billing Problem,Low,RoboChef Blender,payment problem order need urgent help,51
338,Can't log in to mi account. Keeps showing reset required. Help!,Account Access,Medium,PowerMax Battery,cant log mi account keep showing reset required help,63
339,"Order #86000 for  is 5 days late. Ordered on 08 March. Also, I contacted support on 08 March but got no response.",Late Delivery,Medium,RoboChef Blender,order day late ordered march also contacted support march got response,113
340,I ordered PowerMax Battery but got RoboChef Blender instead. My order number is #40494.,Wrong Item,Medium,PowerMax Battery,ordered powermax battery got robochef blender instead order number,87
341,Want to know more about warranty.,General Inquiry,Unknown,SmartWatch V2,want know warranty,33
342,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,High,EcoBreeze AC,tell ecobreeze ac warranty also available black,85
343,FitRun Treadmill is defective. It stopped working after just 4 days.,Product Defect,Medium,FitRun Treadmill,fitrun treadmill defective stopped working day,68
344,Payment issue for my Vision LED TV. I was underbilled for order #81504.,Billing Problem,Low,Vision LED TV,payment issue vision led tv underbilled order,71
345,"Facing installation issue with PowerMax Battery. Setup fails at step 1. Also, I contacted support on 28 April but got no response.",Unknown,Unknown,PowerMax Battery,facing installation issue powermax battery setup fails step also contacted support april got response,130
346,I ordered SoundWave 300 but got PhotoSnap Cam instead. My order number is #40050.,Wrong Item,Low,SoundWave 300,ordered soundwave got photosnap cam instead order number,81
347,"Facing installation issue with SoundWave 300. Setup fails at step 1. Also, I contacted support on 17 March but got no response.",Installation Issue,Unknown,SoundWave 300,facing installation issue soundwave setup fails step also contacted support march got response,127
348,"Payment issue for my SmartWatch V2. I was charged twice for order #79609. Also, I contacted support on 30 April but got no response.",Billing Problem,High,SmartWatch V2,payment issue smartwatch v charged twice order also contacted support april got response,132
349,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,High,Vision LED TV,tell vision led tv warranty also available blue,85
350,Facing installation issue with . Setup fails at step 5.,Installation Issue,High,SmartWatch V2,facing installation issue setup fails step,55
351,"Order #13937 for SmartWatch V2 is 2 days late. Ordered on 07 March. Also, I contacted support on 07 March but got no response.",Late Delivery,High,SmartWatch V2,order smartwatch v day late ordered march also contacted support march got response,126
352,"Can you tell me more about the  warranty? Also, is it available in black? Also, I contacted support on 22 April but got no response.",General Inquiry,High,SoundWave 300,tell warranty also available black also contacted support april got response,132
353,,Wrong Item,High,PowerMax Battery,,0
354,"Can't access my account. Also, I contacted support on 07 March but got no response.",Account Access,Low,PowerMax Battery,cant access account also contacted support march got response,83
355,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,tell smartwatch v warranty also available black,86
356,,Product Defect,Low,SoundWave 300,,0
357," is no response. It stopped working after just 6 days. Also, I contacted support on 22 March but got no response.",Product Defect,High,SmartWatch V2,response stopped working day also contacted support march got response,113
358,Order #97716 fr RoboChef Blender is 4 days late. Ordered on 05 May.,Late Delivery,High,RoboChef Blender,order fr robochef blender day late ordered may,67
359,Payment issue for my PhotoSnap Cam. I was underbilled for order #49697.,Billing Problem,High,PhotoSnap Cam,payment issue photosnap cam underbilled order,71
360,Payment issue for my EcoBreeze AC. I was underbilled for order #20548.,Billing Problem,High,EcoBreeze AC,payment issue ecobreeze ac underbilled order,70
361,"Order #40777 placed on 08 April still not here. Also, I contacted support on 08 April but got no response.",Late Delivery,Low,RoboChef Blender,order placed april still also contacted support april got response,106
362,Facing installation issue with FitRun Treadmill. Setup fails at step 2.,Installation Issue,Unknown,FitRun Treadmill,facing installation issue fitrun treadmill setup fails step,71
363,Facing installation issue with SoundWave 300. Setup fails at step 6.,Installation Issue,Low,SoundWave 300,facing installation issue soundwave setup fails step,68
364,Payment issue for my . I was not refunded for order #83474. Delivery expected by 14 March.,Billing Problem,High,PowerMax Battery,payment issue refunded order delivery expected march,90
365,Can't log in to mi account. Keeps showing blocked. Help!,Account Access,Low,SmartWatch V2,cant log mi account keep showing blocked help,56
366,Order #91046 for Vision LED TV is 7 days late. Ordered on 19 April.,Late Delivery,Low,Vision LED TV,order vision led tv day late ordered april,67
367,Facing installation issue with . Setup fails at step 6.,Installation Issue,High,UltraClean Vacuum,facing installation issue setup fails step,55
368,"Order #86799 for  is 3 days late. Ordered on 03 May. Also, I contacted support on 03 May but got no response.",Late Delivery,Medium,EcoBreeze AC,order day late ordered may also contacted support may got response,109
369,Facing installation issue with EcoBreeze AC. Setup fails at step 3.,Installation Issue,Medium,EcoBreeze AC,facing installation issue ecobreeze ac setup fails step,67
370,Facing installation issue with UltraClean Vacuum. Setup fails at step 4.,Installation Issue,High,UltraClean Vacuum,facing installation issue ultraclean vacuum setup fails step,72
371,,Account Access,Medium,SoundWave 300,,0
372,Payment issue for my . I was not refunded for order #88583.,Billing Problem,High,ProTab X1,payment issue refunded order,59
373,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,tell ultraclean vacuum warranty also available red,88
374,PowerMax Battery is broken. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery broken stopped working day,65
375,Order #33197 for PhotoSnap Cam is 15 days late. Ordered on 28 March. Delivery expected by 28 March.,Late Delivery,Low,PhotoSnap Cam,order photosnap cam day late ordered march delivery expected march,99
376,Facing installation issue with . Setup fails at step 1.,Installation Issue,Low,ProTab X1,facing installation issue setup fails step,55
377,Order #15130 for FitRun Treadmill is 13 days late. Ordered on 22 March.,Late Delivery,High,FitRun Treadmill,order fitrun treadmill day late ordered march,71
378,,Billing Problem,Low,FitRun Treadmill,,0
379,Payment problem for order #84187. Need urgent help. Delivery expected by 03 May.,Billing Problem,Medium,Vision LED TV,payment problem order need urgent help delivery expected may,80
380,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Low,FitRun Treadmill,tell fitrun treadmill warranty also available white,89
381,"Order #99634 for EcoBreeze AC is 15 days late. Ordered on 16 May. Also, I contacted support on 16 May but got no response. Delivery expected by 16 May.",Unknown,High,EcoBreeze AC,order ecobreeze ac day late ordered may also contacted support may got response delivery expected may,151
382,Payment issue for my . I was underbilled for order #84239.,Billing Problem,Low,Vision LED TV,payment issue underbilled order,58
383,"Payment issue for my UltraClean Vacuum. I was charged twice for order #53615. Also, I contacted support on 12 March but got no response. Delivery expected by 12 March.",Billing Problem,Medium,UltraClean Vacuum,payment issue ultraclean vacuum charged twice order also contacted support march got response delivery expected march,167
384,RoboChef Blender is stuck. It stopped working after just 6 days.,Product Defect,Low,RoboChef Blender,robochef blender stuck stopped working day,64
385,"Can't log in to my account. Keeps showing unknown issue. Help! Also, I contacted support on 30 March but got no response.",Account Access,Medium,RoboChef Blender,cant log account keep showing unknown issue help also contacted support march got response,121
386,Order #75955 for SmartWatch V2 is 5 days late. Ordered on 10 May.,Late Delivery,Medium,SmartWatch V2,order smartwatch v day late ordered may,65
387,Facing installation issue with PhotoSnap Cam. Setup fails at step 2.,Installation Issue,Medium,PhotoSnap Cam,facing installation issue photosnap cam setup fails step,68
388,Order #61188 for  is 17 days late. Ordered on 05 March.,Late Delivery,Medium,UltraClean Vacuum,order day late ordered march,55
389,RoboChef Blender is error. It stopped working after just 5 days.,Unknown,High,RoboChef Blender,robochef blender error stopped working day,64
390,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue? Also, I contacted support on 02 April but got no response.",General Inquiry,Medium,FitRun Treadmill,tell fitrun treadmill warranty also available blue also contacted support april got response,147
391,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in white?",General Inquiry,Low,SmartWatch V2,tell smartwatch v warranty also available white,86
392,"Received wrong product, order mixed up.",Wrong Item,Medium,FitRun Treadmill,received wrong product order mixed,39
393,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in white? Delivery expected by 19 May.",General Inquiry,High,RoboChef Blender,tell robochef blender warranty also available white delivery expected may,118
394,Facing installation issue with UltraClean Vacuum. Setup fails at step 2.,Installation Issue,High,UltraClean Vacuum,facing installation issue ultraclean vacuum setup fails step,72
395,"Facing installation issue with Vision LED TV. Setup fails at step 6. Also, I contacted support on 31 March but got no response.",Installation Issue,Medium,Vision LED TV,facing installation issue vision led tv setup fails step also contacted support march got response,127
396,Payment issue for my . I was charged twice for order #66880.,Billing Problem,High,SoundWave 300,payment issue charged twice order,60
397, is lost. It stopped working after just 3 days.,Product Defect,Medium,PhotoSnap Cam,lost stopped working day,47
398,RoboChef Blender is wrong item. It stopped working after just 1 days.,Product Defect,High,RoboChef Blender,robochef blender wrong item stopped working day,69
399,Order #28904 placed on 03 May still not here.,Late Delivery,Medium,SmartWatch V2,order placed may still,45
400,Facing installation issue with SoundWave 300. Setup fails at step 6.,Installation Issue,Medium,SoundWave 300,facing installation issue soundwave setup fails step,68
401,Vision LED TV is cracked. It stopped working after just 1 days.,Product Defect,Unknown,Vision LED TV,vision led tv cracked stopped working day,63
402,Payment issue for my SoundWave 300. I was overbilled for order #25839. Delivery expected by 07 April.,Billing Problem,Low,SoundWave 300,payment issue soundwave overbilled order delivery expected april,101
403,"Received wrong product, order mixed up.",Wrong Item,Low,ProTab X1,received wrong product order mixed,39
404,Order #17946 fr PhotoSnap Cam is 16 days late. Ordered on 14 April.,Late Delivery,High,PhotoSnap Cam,order fr photosnap cam day late ordered april,67
405,Payment issue for my EcoBreeze AC. I was debited incorrectly for order #86372.,Billing Problem,High,EcoBreeze AC,payment issue ecobreeze ac debited incorrectly order,78
406,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,Low,PowerMax Battery,tell warranty also available black,73
407,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white?",General Inquiry,Low,FitRun Treadmill,tell fitrun treadmill warranty also available white,89
408,I ordered  but got SmartWatch V2 instead. My order number is #31482.,Wrong Item,Low,SmartWatch V2,ordered got smartwatch v instead order number,68
409,,Billing Problem,Medium,EcoBreeze AC,,0
